"","track_name.x","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","popularity"
"9532","Teu Segredo - Ao Vivo","15DHt4fP4FARWLvWkIxdAx",0.41,0.673,9,-7.369,1,0.0475,0.662,0,0.971,0.54,161.621,4,182861,54
"9546","YoYo","161tk6AjNHvS8LC7Y4MHur",0.777,0.735,11,-2.108,1,0.231,0.126,0,0.0778,0.713,92.039,4,156522,64
"9615","Mantém","17rF54WvGGqPVxDheq8PP8",0.754,0.765,10,-5.354,0,0.0777,0.38,0,0.113,0.53,129.983,4,195692,69
"9687","Quem Traiu Levou - Ao Vivo","17Ryox5vWKp92IDW87C5PI",0.585,0.958,11,-2.396,1,0.0798,0.323,2.98e-06,0.324,0.832,173.99,4,154183,72
"9713","Welcome - Homecoming Live","1808HJ1bN6AFdP2nn5g4Up",0.583,0.827,7,-12.175,1,0.379,0.15,0.431,0.698,0.135,170.103,4,196474,26
"9714","More Than That","180WImKPbvdUrboKUov5f4",0.595,0.442,4,-12.899,0,0.282,0.0709,0,0.139,0.297,48.702,4,158733,58
"9715","Juras de Amor (Vai Chorar) - Ao Vivo","1a1KuK97CSE29fFqufkheK",0.662,0.94,2,-3.276,1,0.0454,0.384,0.000154,0.301,0.936,163.938,4,158960,57
"9779","Eterna Sacanagem","1AfNdxHdE4OLcnQUyC6j3i",0.558,0.675,8,-4.564,1,0.484,0.501,0,0.106,0.769,92.678,5,168800,78
"9854","Tudo que sonhamos","1aJiwgm17FQbLnnnS3JVB7",0.704,0.492,4,-6.79,1,0.0317,0.63,0,0.155,0.398,114.989,4,149666,47
"9900","Você Humilha - Ao Vivo","1aoE7gCfsYOy2m58kvj5T8",0.509,0.832,4,-3.672,1,0.0447,0.585,0,0.963,0.388,93.481,4,181077,63
"9901","Eu Mereço Ser Feliz - Ao Vivo","1aqRJG36VbTp8E37W4cMGa",0.665,0.821,5,-6.096,1,0.0545,0.598,0,0.917,0.921,106.097,4,194091,63
"9974","Fazendo Assim","1aze584tZXAelX8ACSzOor",0.838,0.678,5,-5.275,0,0.0416,0.0425,3.65e-05,0.318,0.692,100.021,4,159798,56
"9975","AmarElo (Sample: Sujeito de Sorte - Belchior)","1BeAxDuc9FbQNWvXWlO66W",0.558,0.762,8,-6.355,1,0.372,0.0344,2.19e-05,0.0277,0.535,172.062,4,321493,58
